Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
166,2017,https://www.imdb.com/title/tt4080956/?ref_=adv_li_tt,A Prayer Before Dawn,116,"Action, Biography, Crime",6.8,76.0,24688,,Jean-Stéphane Sauvaire,Joe Cole,Cherry Miko,Vithaya Pansringarm,Panya Yimmumphai
167,2017,https://www.imdb.com/title/tt5816682/?ref_=adv_li_tt,Victoria & Abdul,111,"Biography, Comedy, Drama",6.8,58.0,36924,22.25M,Stephen Frears,Judi Dench,Ali Fazal,Tim Pigott-Smith,Eddie Izzard
168,2017,https://www.imdb.com/title/tt6060156/?ref_=adv_li_tt,Toc Toc,90,Comedy,6.8,,20460,,Vicente Villanueva,Paco León,Alexandra Jiménez,Rossy de Palma,Nuria Herrero
169,2017,https://www.imdb.com/title/tt1291566/?ref_=adv_li_tt,The Vanishing of Sidney Hall,119,"Drama, Mystery, Romance",6.8,18.0,11283,,Shawn Christensen,Logan Lerman,Elle Fanning,Kyle Chandler,Michelle Monaghan
170,2017,https://www.imdb.com/title/tt6892400/?ref_=adv_li_tt,The Girl in the Fog,128,"Crime, Drama, Mystery",6.8,,11931,,Donato Carrisi,Toni Servillo,Alessio Boni,Lorenzo Richelmy,Galatea Ranzi
171,2017,https://www.imdb.com/title/tt6336356/?ref_=adv_li_tt,Mary and the Witch's Flower,103,"Animation, Adventure, Family",6.8,74.0,15021,2.42M,Hiromasa Yonebayashi,Hana Sugisaki,Ryunosuke Kamiki,Yûki Amami,Fumiyo Kohinata
172,2017,https://www.imdb.com/title/tt5253282/?ref_=adv_li_tt,The Bachelors,99,"Comedy, Drama, Romance",6.8,54.0,5319,,Kurt Voelker,J.K. Simmons,Josh Wiggins,Odeya Rush,Kevin Dunn
173,2017,https://www.imdb.com/title/tt6288250/?ref_=adv_li_tt,Patti Cake$,109,"Drama, Music",6.8,67.0,10368,0.80M,Geremy Jasper,Danielle Macdonald,Sahr Ngaujah,Bridget Everett,Mamoudou Athie
174,2017,https://www.imdb.com/title/tt5699154/?ref_=adv_li_tt,C'est la vie!,117,"Comedy, Drama, Romance",6.8,,11257,,Olivier Nakache,Éric Toledano,Jean-Pierre Bacri,Jean-Paul Rouve,Gilles Lellouche
175,2017,https://www.imdb.com/title/tt4351548/?ref_=adv_li_tt,Bomb City,98,"Crime, Drama",6.8,65.0,8291,0.06M,Jameson Brooks,Dave Davis,Glenn Morshower,Luke Shelton,Henry Knotts
176,2017,https://www.imdb.com/title/tt5226984/?ref_=adv_li_tt,Tom of Finland,117,"Biography, Drama",6.8,56.0,6146,0.38M,Dome Karukoski,Pekka Strang,Seumas F. Sargent,Chris Myland,Alf Myreen
177,2017,https://www.imdb.com/title/tt6223806/?ref_=adv_li_tt,Under the Tree,89,"Comedy, Drama, Thriller",6.8,75.0,5031,0.07M,Hafsteinn Gunnar Sigurðsson,Steinþór Hróar Steinþórsson,Edda Björgvinsdóttir,Sigurður Sigurjónsson,Þorsteinn Bachmann
178,2017,https://www.imdb.com/title/tt6861726/?ref_=adv_li_tt,Jai Lava Kusa,150,"Action, Drama, Thriller",6.8,,6210,51.00M,K.S. Ravindra,N.T. Rama Rao Jr.,Raashi Khanna,Nivetha Thomas,Ronit Roy
179,2017,https://www.imdb.com/title/tt6399158/?ref_=adv_li_tt,Fabricated City,126,"Action, Crime, Thriller",6.8,,6002,0.10M,Kwang-Hyun Park,Ji Chang-Wook,Shim Eun-kyung,Jae-hong Ahn,Min-Jung Bae
180,2017,https://www.imdb.com/title/tt4649466/?ref_=adv_li_tt,Kingsman: The Golden Circle,141,"Action, Adventure, Comedy",6.7,44.0,340189,100.23M,Matthew Vaughn,Taron Egerton,Colin Firth,Mark Strong,Channing Tatum
181,2017,https://www.imdb.com/title/tt1972591/?ref_=adv_li_tt,King Arthur: Legend of the Sword,126,"Action, Adventure, Drama",6.7,41.0,222438,39.18M,Guy Ritchie,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou
182,2017,https://www.imdb.com/title/tt2406566/?ref_=adv_li_tt,Atomic Blonde,115,"Action, Thriller",6.7,63.0,198432,51.69M,David Leitch,Charlize Theron,James McAvoy,John Goodman,Eddie Marsan
183,2017,https://www.imdb.com/title/tt3606752/?ref_=adv_li_tt,Cars 3,102,"Animation, Adventure, Comedy",6.7,59.0,106906,152.90M,Brian Fee,Owen Wilson,Cristela Alonzo,Chris Cooper,Nathan Fillion
184,2017,https://www.imdb.com/title/tt5886440/?ref_=adv_li_tt,Marrowbone,110,"Adventure, Drama, Horror",6.7,63.0,34366,0.00M,Sergio G. Sánchez,George MacKay,Anya Taylor-Joy,Charlie Heaton,Mia Goth
185,2017,https://www.imdb.com/title/tt5742374/?ref_=adv_li_tt,You Were Never Really Here,89,"Crime, Drama",6.7,84.0,122357,2.52M,Lynne Ramsay,Joaquin Phoenix,Judith Roberts,Ekaterina Samsonov,John Doman
186,2017,https://www.imdb.com/title/tt3758172/?ref_=adv_li_tt,Jungle,115,"Action, Adventure, Biography",6.7,48.0,59398,,Greg McLean,Daniel Radcliffe,Thomas Kretschmann,Alex Russell,Joel Jackson
187,2017,https://www.imdb.com/title/tt3411444/?ref_=adv_li_tt,Ferdinand,108,"Animation, Adventure, Comedy",6.7,58.0,59681,84.41M,Carlos Saldanha,John Cena,Kate McKinnon,Bobby Cannavale,Jack Gore
188,2017,https://www.imdb.com/title/tt4622512/?ref_=adv_li_tt,Battle of the Sexes,121,"Biography, Comedy, Drama",6.7,73.0,57194,12.64M,Jonathan Dayton,Valerie Faris,Emma Stone,Steve Carell,Andrea Riseborough
189,2017,https://www.imdb.com/title/tt3780500/?ref_=adv_li_tt,Journey's End,107,"Drama, War",6.7,73.0,10573,0.16M,Saul Dibb,Paul Bettany,Sam Claflin,Stephen Graham,Tom Sturridge
190,2017,https://www.imdb.com/title/tt4652650/?ref_=adv_li_tt,Please Stand By,93,"Comedy, Drama",6.7,49.0,14263,0.01M,Ben Lewin,Dakota Fanning,Alice Eve,Toni Collette,Lexi Aaron
191,2017,https://www.imdb.com/title/tt5084170/?ref_=adv_li_tt,Blade of the Immortal,140,"Action, Drama, Fantasy",6.7,72.0,18530,0.15M,Takashi Miike,Takuya Kimura,Hana Sugisaki,Sôta Fukushi,Hayato Ichihara
192,2017,https://www.imdb.com/title/tt7260048/?ref_=adv_li_tt,Outside In,109,Drama,6.7,76.0,5521,0.07M,Lynn Shelton,Edie Falco,Jay Duplass,Louis Hobson,Alycia Delmore
193,2017,https://www.imdb.com/title/tt6040662/?ref_=adv_li_tt,The Children Act,105,Drama,6.7,62.0,14070,0.51M,Richard Eyre,Emma Thompson,Stanley Tucci,Reena Lalbihari,Dominic Carter
194,2017,https://www.imdb.com/title/tt5126922/?ref_=adv_li_tt,The Pirates of Somalia,116,"Biography, Drama",6.7,54.0,10539,,Bryan Buckley,Al Pacino,Evan Peters,Melanie Griffith,Barkhad Abdi
195,2017,https://www.imdb.com/title/tt4986134/?ref_=adv_li_tt,Rebel in the Rye,106,"Biography, Drama, Romance",6.7,46.0,10222,0.38M,Danny Strong,Nicholas Hoult,Kevin Spacey,Victor Garber,Hope Davis
196,2017,https://www.imdb.com/title/tt4977530/?ref_=adv_li_tt,Viceroy's House,106,"Biography, Drama, History",6.7,53.0,8275,1.11M,Gurinder Chadha,Hugh Bonneville,Gillian Anderson,Manish Dayal,Huma Qureshi
197,2017,https://www.imdb.com/title/tt5540188/?ref_=adv_li_tt,The Nile Hilton Incident,111,"Crime, Drama, Mystery",6.7,70.0,8655,0.08M,Tarik Saleh,Fares Fares,Mari Malek,Yasser Ali Maher,Ahmed Selim
198,2017,https://www.imdb.com/title/tt5711148/?ref_=adv_li_tt,Film Stars Don't Die in Liverpool,105,"Biography, Drama, Romance",6.7,65.0,10204,1.03M,Paul McGuigan,Annette Bening,Jamie Bell,Kenneth Cranham,Julie Walters
199,2017,https://www.imdb.com/title/tt4538916/?ref_=adv_li_tt,Finding Your Feet,111,"Comedy, Drama, Family",6.7,53.0,6899,1.42M,Richard Loncraine,Imelda Staunton,Celia Imrie,Timothy Spall,Joanna Lumley
200,2017,https://www.imdb.com/title/tt3741632/?ref_=adv_li_tt,The Leisure Seeker,112,"Adventure, Comedy, Drama",6.7,45.0,9230,3.23M,Paolo Virzì,Helen Mirren,Donald Sutherland,Christian McKay,Janel Moloney
201,2017,https://www.imdb.com/title/tt3409848/?ref_=adv_li_tt,Zama,115,"Drama, History",6.7,89.0,6717,0.20M,Lucrecia Martel,Daniel Giménez Cacho,Lola Dueñas,Matheus Nachtergaele,Juan Minujín
202,2017,https://www.imdb.com/title/tt6410564/?ref_=adv_li_tt,The Third Murder,124,"Crime, Drama, Mystery",6.7,68.0,7361,0.09M,Kore-eda Hirokazu,Masaharu Fukuyama,Kôji Yakusho,Suzu Hirose,Shinnosuke Mitsushima
203,2017,https://www.imdb.com/title/tt5987402/?ref_=adv_li_tt,Three Seconds,133,"Biography, Drama, Sport",6.7,,5147,,Anton Megerdichev,Vladimir Mashkov,Andrey Smolyakov,Sergey Garmash,Marat Basharov
204,2017,https://www.imdb.com/title/tt5442430/?ref_=adv_li_tt,Life,104,"Horror, Sci-Fi, Thriller",6.6,54.0,237974,30.23M,Daniel Espinosa,Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,Hiroyuki Sanada
205,2017,https://www.imdb.com/title/tt5109784/?ref_=adv_li_tt,Mother!,121,"Drama, Horror, Mystery",6.6,75.0,233847,17.80M,Darren Aronofsky,Jennifer Lawrence,Javier Bardem,Ed Harris,Michelle Pfeiffer
206,2017,https://www.imdb.com/title/tt3731562/?ref_=adv_li_tt,Kong: Skull Island,118,"Action, Adventure, Fantasy",6.6,62.0,327575,168.05M,Jordan Vogt-Roberts,Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly
207,2017,https://www.imdb.com/title/tt4630562/?ref_=adv_li_tt,The Fate of the Furious,136,"Action, Crime, Thriller",6.6,56.0,238145,226.01M,F. Gary Gray,Vin Diesel,Jason Statham,Dwayne Johnson,Michelle Rodriguez
208,2017,https://www.imdb.com/title/tt6108178/?ref_=adv_li_tt,Disobedience,114,Drama,6.6,74.0,32977,3.48M,Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Anton Lesser
209,2017,https://www.imdb.com/title/tt5962210/?ref_=adv_li_tt,Ingrid Goes West,98,"Comedy, Drama",6.6,71.0,45154,3.02M,Matt Spicer,Aubrey Plaza,Elizabeth Olsen,O'Shea Jackson Jr.,Wyatt Russell
210,2017,https://www.imdb.com/title/tt5308322/?ref_=adv_li_tt,Happy Death Day,96,"Comedy, Horror, Mystery",6.6,58.0,149683,55.68M,Christopher Landon,Jessica Rothe,Israel Broussard,Ruby Modine,Charles Aitken
211,2017,https://www.imdb.com/title/tt2568862/?ref_=adv_li_tt,Going in Style,96,"Comedy, Crime",6.6,50.0,87891,45.02M,Zach Braff,Michael Caine,Alan Arkin,Ann-Margret,Matt Dillon
212,2017,https://www.imdb.com/title/tt3405236/?ref_=adv_li_tt,Raees,143,"Action, Crime, Drama",6.6,,47120,3.26M,Rahul Dholakia,Shah Rukh Khan,Sunny Leone,Nawazuddin Siddiqui,Jaideep Ahlawat
213,2017,https://www.imdb.com/title/tt5649108/?ref_=adv_li_tt,Thoroughbreds,92,"Comedy, Crime, Drama",6.6,75.0,44667,2.83M,Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Paul Sparks
214,2017,https://www.imdb.com/title/tt4572792/?ref_=adv_li_tt,The Book of Henry,105,"Crime, Drama, Thriller",6.6,31.0,28363,4.22M,Colin Trevorrow,Naomi Watts,Jaeden Martell,Jacob Tremblay,Sarah Silverman
215,2017,https://www.imdb.com/title/tt6777338/?ref_=adv_li_tt,The Villainess,124,"Action, Crime, Drama",6.6,64.0,15602,0.03M,Byung-gil Jung,Kim Ok-bin,Shin Ha-kyun,Sung Jun,Kim Seo-hyeong
216,2017,https://www.imdb.com/title/tt5112578/?ref_=adv_li_tt,Super Dark Times,103,"Crime, Drama, Horror",6.6,75.0,24322,0.03M,Kevin Phillips,Owen Campbell,Charlie Tahan,Elizabeth Cappuccino,Amy Hargreaves
217,2017,https://www.imdb.com/title/tt5436228/?ref_=adv_li_tt,Woman Walks Ahead,101,"Biography, Drama, History",6.6,51.0,7727,0.06M,Susanna White,Jessica Chastain,Louisa Krause,Boots Southerland,Chaske Spencer
218,2017,https://www.imdb.com/title/tt2776878/?ref_=adv_li_tt,Thank You for Your Service,109,"Biography, Drama, War",6.6,68.0,14393,9.47M,Jason Hall,Miles Teller,Beulah Koale,Joe Cole,Scott Haze
219,2017,https://www.imdb.com/title/tt5304464/?ref_=adv_li_tt,Happy End,107,Drama,6.6,72.0,16155,0.30M,Michael Haneke,Isabelle Huppert,Jean-Louis Trintignant,Mathieu Kassovitz,Fantine Harduin
220,2017,https://www.imdb.com/title/tt5431082/?ref_=adv_li_tt,Darkland,112,"Action, Crime, Drama",6.6,,6441,,Fenar Ahmad,Dar Salim,Stine Fischer Christensen,Ali Sivandi,Dulfi Al-Jabouri
221,2017,https://www.imdb.com/title/tt5751998/?ref_=adv_li_tt,Small Town Crime,91,"Crime, Mystery, Thriller",6.6,68.0,12014,,Eshom Nelms,Ian Nelms,John Hawkes,Anthony Anderson,Octavia Spencer
222,2017,https://www.imdb.com/title/tt1230168/?ref_=adv_li_tt,Same Kind of Different as Me,119,"Biography, Drama",6.6,47.0,8392,6.42M,Michael Carney,Greg Kinnear,Renée Zellweger,Djimon Hounsou,Jon Voight
223,2017,https://www.imdb.com/title/tt6574146/?ref_=adv_li_tt,Blame!,106,"Animation, Action, Drama",6.6,,8486,,Hiroyuki Seshita,Takahiro Sakurai,Kana Hanazawa,Sora Amamiya,Mamoru Miyano
224,2017,https://www.imdb.com/title/tt5023260/?ref_=adv_li_tt,The Last Word,108,"Comedy, Drama",6.6,40.0,8518,1.78M,Mark Pellington,Shirley MacLaine,Amanda Seyfried,AnnJewel Lee Dixon,Thomas Sadoski
225,2017,https://www.imdb.com/title/tt5816374/?ref_=adv_li_tt,Band Aid,91,"Comedy, Drama, Music",6.6,67.0,5833,0.24M,Zoe Lister-Jones,Zoe Lister-Jones,Adam Pally,Fred Armisen,Susie Essman
226,2017,https://www.imdb.com/title/tt5687334/?ref_=adv_li_tt,Godard Mon Amour,107,"Biography, Comedy, Drama",6.6,55.0,5712,0.08M,Michel Hazanavicius,Louis Garrel,Stacy Martin,Bérénice Bejo,Micha Lescot
227,2017,https://www.imdb.com/title/tt1699518/?ref_=adv_li_tt,The Young Karl Marx,118,"Biography, Drama, History",6.6,62.0,6882,0.13M,Raoul Peck,August Diehl,Stefan Konarske,Vicky Krieps,Olivier Gourmet
228,2017,https://www.imdb.com/title/tt6193424/?ref_=adv_li_tt,The Trip to Spain,108,"Adventure, Comedy, Drama",6.6,66.0,6215,1.16M,Michael Winterbottom,Steve Coogan,Rob Brydon,Rebecca Johnson,Claire Keelan
229,2017,https://www.imdb.com/title/tt3402236/?ref_=adv_li_tt,Murder on the Orient Express,114,"Crime, Drama, Mystery",6.5,52.0,266854,102.83M,Kenneth Branagh,Kenneth Branagh,Penélope Cruz,Willem Dafoe,Judi Dench
230,2017,https://www.imdb.com/title/tt3748172/?ref_=adv_li_tt,Gerald's Game,103,"Drama, Horror, Thriller",6.5,77.0,115529,,Mike Flanagan,Carla Gugino,Bruce Greenwood,Chiara Aurelia,Carel Struycken
231,2017,https://www.imdb.com/title/tt1790809/?ref_=adv_li_tt,Pirates of the Caribbean: Dead Men Tell No Tales,129,"Action, Adventure, Fantasy",6.5,39.0,321664,172.56M,Joachim Rønning,Espen Sandberg,Johnny Depp,Geoffrey Rush,Javier Bardem
232,2017,https://www.imdb.com/title/tt5140878/?ref_=adv_li_tt,Annabelle: Creation,109,"Horror, Mystery, Thriller",6.5,62.0,139803,102.09M,David F. Sandberg,Anthony LaPaglia,Samara Lee,Miranda Otto,Brad Greenquist
233,2017,https://www.imdb.com/title/tt3986820/?ref_=adv_li_tt,The Endless,111,"Drama, Fantasy, Horror",6.5,80.0,45131,0.27M,Justin Benson,Aaron Moorhead,Aaron Moorhead,Justin Benson,Callie Hernandez
234,2017,https://www.imdb.com/title/tt6000478/?ref_=adv_li_tt,"Roman J. Israel, Esq.",122,"Crime, Drama, Thriller",6.5,58.0,40108,11.96M,Dan Gilroy,Denzel Washington,Colin Farrell,Carmen Ejogo,Lynda Gravatt
235,2017,https://www.imdb.com/title/tt7549892/?ref_=adv_li_tt,Terrified,87,Horror,6.5,,17281,,Demián Rugna,Maximiliano Ghione,Norberto Gonzalo,Elvira Onetto,George L. Lewis
236,2017,https://www.imdb.com/title/tt3127022/?ref_=adv_li_tt,The Bookshop,113,Drama,6.5,62.0,16182,1.33M,Isabel Coixet,Emily Mortimer,Bill Nighy,Hunter Tremayne,Honor Kneafsey
237,2017,https://www.imdb.com/title/tt5978724/?ref_=adv_li_tt,My Days of Mercy,108,"Drama, Romance",6.5,,5295,,Tali Shalom-Ezer,Elliot Page,Kate Mara,Amy Seimetz,Charlie Shotwell
238,2017,https://www.imdb.com/title/tt2140507/?ref_=adv_li_tt,The Current War,102,"Biography, Drama, History",6.5,55.0,28807,,Alfonso Gomez-Rejon,Benedict Cumberbatch,Oliver Powell,Sophia Ally,Tuppence Middleton
239,2017,https://www.imdb.com/title/tt7076834/?ref_=adv_li_tt,Satan's Slaves,107,"Drama, Horror, Mystery",6.5,,9975,,Joko Anwar,Tara Basro,Bront Palarae,Dimas Aditya,Endy Arfian
240,2017,https://www.imdb.com/title/tt5990342/?ref_=adv_li_tt,The Incredible Jessica James,85,Comedy,6.5,72.0,8243,,Jim Strouse,Jessica Williams,Chris O'Dowd,LaKeith Stanfield,Noël Wells
241,2017,https://www.imdb.com/title/tt5814592/?ref_=adv_li_tt,The Party,71,"Comedy, Drama",6.5,73.0,19538,0.75M,Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Bruno Ganz
242,2017,https://www.imdb.com/title/tt5655222/?ref_=adv_li_tt,The Hero,96,"Drama, Romance, Western",6.5,61.0,10026,4.08M,Brett Haley,Sam Elliott,Laura Prepon,Krysten Ritter,Nick Offerman
243,2017,https://www.imdb.com/title/tt5884230/?ref_=adv_li_tt,Brad's Status,102,"Comedy, Drama, Music",6.5,71.0,18452,2.13M,Mike White,Ben Stiller,Austin Abrams,Jenna Fischer,Michael Sheen
244,2017,https://www.imdb.com/title/tt5653514/?ref_=adv_li_tt,Bad Day for the Cut,99,"Action, Crime, Drama",6.5,,8488,,Chris Baugh,Nigel O'Neill,Susan Lynch,Józef Pawlowski,Stuart Graham
245,2017,https://www.imdb.com/title/tt5451244/?ref_=adv_li_tt,The Motive,112,"Adventure, Comedy, Crime",6.5,58.0,6314,,Manuel Martín Cuenca,Javier Gutiérrez,María León,Adelfa Calvo,Adriana Paz
246,2017,https://www.imdb.com/title/tt6712014/?ref_=adv_li_tt,Fukrey Returns,141,Comedy,6.5,,5712,,Mrighdeep Lamba,Pulkit Samrat,Varun Sharma,Ali Fazal,Manjot Singh
247,2017,https://www.imdb.com/title/tt2239822/?ref_=adv_li_tt,Valerian and the City of a Thousand Planets,136,"Action, Adventure, Fantasy",6.4,51.0,186669,41.19M,Luc Besson,Dane DeHaan,Cara Delevingne,Clive Owen,Rihanna
248,2017,https://www.imdb.com/title/tt2316204/?ref_=adv_li_tt,Alien: Covenant,122,"Horror, Sci-Fi, Thriller",6.4,65.0,287975,74.26M,Ridley Scott,Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride
249,2017,https://www.imdb.com/title/tt6738136/?ref_=adv_li_tt,Revenge,108,"Action, Drama, Horror",6.4,81.0,45287,0.10M,Coralie Fargeat,Matilda Anna Ingrid Lutz,Kevin Janssens,Vincent Colombe,Guillaume Bouchède
250,2017,https://www.imdb.com/title/tt3416536/?ref_=adv_li_tt,Hot Summer Nights,107,"Crime, Drama, Romance",6.4,44.0,20644,,Elijah Bynum,Timothée Chalamet,Maika Monroe,Alex Roe,Emory Cohen
1,2018,https://www.imdb.com/title/tt7391996/?ref_=adv_li_tt,C/o Kancharapalem,152,Drama,8.8,,7405,,Venkatesh Maha,Radha Bessy,Subba Rao Vepada,Praneeta Patnaik,Karthik Rathnam
2,2018,https://www.imdb.com/title/tt8176054/?ref_=adv_li_tt,Pariyerum Perumal,154,Drama,8.7,,16677,,Mari Selvaraj,Kathir,Anandhi,Yogi Babu,Lijeesh
3,2018,https://www.imdb.com/title/tt7738784/?ref_=adv_li_tt,Peranbu,147,Drama,8.7,,15286,,Ram,Mammootty,Sadhana,Anjali,Anjali Ameer
4,2018,https://www.imdb.com/title/tt7019842/?ref_=adv_li_tt,96,158,"Drama, Romance",8.5,,32811,,C. Prem Kumar,Vijay Sethupathi,Adithya Bhaskar,Trisha Krishnan,Gouri Kishan
5,2018,https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt,Spider-Man: Into the Spider-Verse,117,"Animation, Action, Adventure",8.4,87.0,553427,190.24M,Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson
6,2018,https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt,Avengers: Infinity War,149,"Action, Adventure, Sci-Fi",8.4,68.0,1111068,678.82M,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
7,2018,https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt,Capernaum,126,Drama,8.4,75.0,93856,1.66M,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad
8,2018,https://www.imdb.com/title/tt5959980/?ref_=adv_li_tt,Vada Chennai,164,"Action, Crime, Drama",8.4,,18044,,Vetrimaaran,Dhanush,Ameer Sultan,Radha Ravi,Daniel Balaji
9,2018,https://www.imdb.com/title/tt7465992/?ref_=adv_li_tt,Mahanati,177,"Biography, Drama",8.4,,13372,,Nag Ashwin,Keerthy Suresh,Dulquer Salmaan,Samantha Ruth Prabhu,Vijay Deverakonda
10,2018,https://www.imdb.com/title/tt7941892/?ref_=adv_li_tt,Attack on Titan: The Roar of Awakening,120,"Animation, Action, Fantasy",8.4,,5665,,Masashi Koizuka,Yûki Kaji,Yui Ishikawa,Marina Inoue,Hiro Shimono
11,2018,https://www.imdb.com/title/tt7060344/?ref_=adv_li_tt,Raatchasan,170,"Action, Crime, Drama",8.3,,46486,,Ram Kumar,Vishnu Vishal,Amala Paul,Radha Ravi,Sangili Murugan
12,2018,https://www.imdb.com/title/tt6966692/?ref_=adv_li_tt,Green Book,130,"Biography, Comedy, Drama",8.2,69.0,512535,85.08M,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco
13,2018,https://www.imdb.com/title/tt8239946/?ref_=adv_li_tt,Tumbbad,104,"Drama, Fantasy, Horror",8.2,,52073,,Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe
14,2018,https://www.imdb.com/title/tt8108198/?ref_=adv_li_tt,Andhadhun,139,"Crime, Mystery, Thriller",8.2,,96445,1.37M,Sriram Raghavan,Tabu,Ayushmann Khurrana,Radhika Apte,Anil Dhawan
15,2018,https://www.imdb.com/title/tt7392212/?ref_=adv_li_tt,Rangasthalam 1985,170,"Action, Drama",8.2,,25923,3.51M,Sukumar,Ram Charan,Samantha Ruth Prabhu,Aadhi,Jagapathi Babu
16,2018,https://www.imdb.com/title/tt7838252/?ref_=adv_li_tt,K.G.F: Chapter 1,156,"Action, Crime, Drama",8.2,,90619,,Prashanth Neel,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois
17,2018,https://www.imdb.com/title/tt9124428/?ref_=adv_li_tt,Champion,130,"Biography, Drama, Romance",8.2,,12552,,Ahmet Katiksiz,Ekin Koç,Farah Zeynep Abdullah,Fikret Kuskan,Sibel Tasçioglu
18,2018,https://www.imdb.com/title/tt7236034/?ref_=adv_li_tt,I Want to Eat Your Pancreas,109,"Animation, Drama, Family",8.0,,19379,0.28M,Shin'ichirô Ushijima,Mahiro Takasugi,Lynn,Yukiyo Fujii,Yuma Uchida
19,2018,https://www.imdb.com/title/tt6628102/?ref_=adv_li_tt,The Wild Pear Tree,188,Drama,8.0,86.0,25377,0.03M,Nuri Bilge Ceylan,Dogu Demirkol,Murat Cemcir,Bennu Yildirimlar,Hazar Ergüçlü
20,2018,https://www.imdb.com/title/tt8561086/?ref_=adv_li_tt,Joseph,138,"Crime, Drama, Thriller",8.0,,5850,,M. Padmakumar,Joju George,Athmeeya Rajan,Dileesh Pothan,James Eliya
21,2018,https://www.imdb.com/title/tt1727824/?ref_=adv_li_tt,Bohemian Rhapsody,134,"Biography, Drama, Music",7.9,49.0,551979,216.43M,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy
22,2018,https://www.imdb.com/title/tt8075192/?ref_=adv_li_tt,Shoplifters,121,"Crime, Drama, Thriller",7.9,93.0,79955,3.31M,Kore-eda Hirokazu,Lily Franky,Sakura Ando,Kirin Kiki,Mayu Matsuoka
23,2018,https://www.imdb.com/title/tt5207158/?ref_=adv_li_tt,South Wind,130,"Crime, Drama, Thriller",7.9,,12142,,Milos Avramovic,Milos Bikovic,Miodrag Radonjic,Dragan Bjelogrlic,Nebojsa Glogovac
24,2018,https://www.imdb.com/title/tt7725596/?ref_=adv_li_tt,Badhaai Ho,124,"Comedy, Drama",7.9,,35803,,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,Sanya Malhotra
25,2018,https://www.imdb.com/title/tt7218518/?ref_=adv_li_tt,Pad Man,140,"Comedy, Drama",7.9,,27103,1.66M,R. Balki,Akshay Kumar,Radhika Apte,Sonam Kapoor,Jyoti Subhash
26,2018,https://www.imdb.com/title/tt4003070/?ref_=adv_li_tt,Diamond Dust,162,"Crime, Drama, Mystery",7.9,,5344,,Marwan Hamed,Rosaline Elbay,Passant Shawky,Mohamed Mamdouh,Menna Shalabi
27,2018,https://www.imdb.com/title/tt5104604/?ref_=adv_li_tt,Isle of Dogs,101,"Animation, Adventure, Comedy",7.8,82.0,175443,32.02M,Wes Anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban
28,2018,https://www.imdb.com/title/tt8020896/?ref_=adv_li_tt,An Elephant Sitting Still,230,Drama,7.8,86.0,7191,0.03M,Bo Hu,Yu Zhang,Yuchang Peng,Uvin Wang,Zi Xi
29,2018,https://www.imdb.com/title/tt7362036/?ref_=adv_li_tt,Dying to Survive,117,"Comedy, Drama",7.8,63.0,7114,0.01M,Muye Wen,Zheng Xu,Yiwei Zhou,Chuan-jun Wang,Zhuo Tan
